side,ref,value,role,pads
L,C1,100nF,VCC/GND decoupling,1=VCC;2=GND
L,C101,100nF,sensor LPF cap A10,1=A10;2=GND
L,C102,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C11,100nF,sensor LPF cap A1,1=A1;2=GND
L,C111,100nF,sensor LPF cap A11,1=A11;2=GND
L,C112,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C12,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C121,100nF,sensor LPF cap A12,1=A12;2=GND
L,C122,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C131,100nF,sensor LPF cap A13,1=A13;2=GND
L,C132,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C141,100nF,sensor LPF cap A14,1=A14;2=GND
L,C142,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C151,100nF,sensor LPF cap A15,1=A15;2=GND
L,C152,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C161,100nF,sensor LPF cap A16,1=A16;2=GND
L,C162,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C171,100nF,sensor LPF cap A17,1=A17;2=GND
L,C172,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C181,100nF,sensor LPF cap A18,1=A18;2=GND
L,C182,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C191,100nF,sensor LPF cap A19,1=A19;2=GND
L,C192,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C2,100nF,VCC/GND decoupling,1=VCC;2=GND
L,C201,100nF,sensor LPF cap A20,1=A20;2=GND
L,C202,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C21,100nF,sensor LPF cap A2,1=A2;2=GND
L,C211,100nF,sensor LPF cap A21,1=A21;2=GND
L,C212,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C22,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C221,100nF,sensor LPF cap A22,1=A22;2=GND
L,C222,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C231,100nF,sensor LPF cap A23,1=A23;2=GND
L,C232,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C241,100nF,sensor LPF cap A24,1=A24;2=GND
L,C242,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C251,100nF,sensor LPF cap A25,1=A25;2=GND
L,C252,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C261,100nF,sensor LPF cap A26,1=A26;2=GND
L,C262,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C271,100nF,sensor LPF cap A27,1=A27;2=GND
L,C272,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C281,100nF,sensor LPF cap A28,1=A28;2=GND
L,C282,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C291,100nF,sensor LPF cap A29,1=A29;2=GND
L,C292,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C31,100nF,sensor LPF cap A3,1=A3;2=GND
L,C32,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C41,100nF,sensor LPF cap A4,1=A4;2=GND
L,C42,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C51,100nF,sensor LPF cap A5,1=A5;2=GND
L,C52,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C61,100nF,sensor LPF cap A6,1=A6;2=GND
L,C62,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C71,100nF,sensor LPF cap A7,1=A7;2=GND
L,C72,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C81,100nF,sensor LPF cap A8,1=A8;2=GND
L,C82,100nF,VCC/GND decoupling,1=GND;2=VCC
L,C91,100nF,sensor LPF cap A9,1=A9;2=GND
L,C92,100nF,VCC/GND decoupling,1=GND;2=VCC
L,R1,1.5k,sensor LPF,1=Q1;2=A1
L,R10,1.5k,sensor LPF,1=Q10;2=A10
L,R11,1.5k,sensor LPF,1=Q11;2=A11
L,R12,1.5k,sensor LPF,1=Q12;2=A12
L,R13,1.5k,sensor LPF,1=Q13;2=A13
L,R14,1.5k,sensor LPF,1=Q14;2=A14
L,R15,1.5k,sensor LPF,1=Q15;2=A15
L,R16,1.5k,sensor LPF,1=Q16;2=A16
L,R17,1.5k,sensor LPF,1=Q17;2=A17
L,R18,1.5k,sensor LPF,1=Q18;2=A18
L,R19,1.5k,sensor LPF,1=Q19;2=A19
