Comment,Designator,Footprint,LCSC Part #
DRV5053VAQDBZR,H1,SOT-23-3,C962159
DRV5053VAQDBZR,H2,SOT-23-3,C962159
DRV5053VAQDBZR,H3,SOT-23-3,C962159
DRV5053VAQDBZR,H4,SOT-23-3,C962159
DRV5053VAQDBZR,H5,SOT-23-3,C962159
DRV5053VAQDBZR,H6,SOT-23-3,C962159
DRV5053VAQDBZR,H7,SOT-23-3,C962159
DRV5053VAQDBZR,H8,SOT-23-3,C962159
DRV5053VAQDBZR,H9,SOT-23-3,C962159
DRV5053VAQDBZR,H10,SOT-23-3,C962159
DRV5053VAQDBZR,H11,SOT-23-3,C962159
DRV5053VAQDBZR,H12,SOT-23-3,C962159
DRV5053VAQDBZR,H13,SOT-23-3,C962159
DRV5053VAQDBZR,H14,SOT-23-3,C962159
DRV5053VAQDBZR,H15,SOT-23-3,C962159
DRV5053VAQDBZR,H16,SOT-23-3,C962159
DRV5053VAQDBZR,H17,SOT-23-3,C962159
DRV5053VAQDBZR,H18,SOT-23-3,C962159
DRV5053VAQDBZR,H19,SOT-23-3,C962159
DRV5053VAQDBZR,H20,SOT-23-3,C962159
DRV5053VAQDBZR,H21,SOT-23-3,C962159
DRV5053VAQDBZR,H22,SOT-23-3,C962159
DRV5053VAQDBZR,H23,SOT-23-3,C962159
DRV5053VAQDBZR,H24,SOT-23-3,C962159
DRV5053VAQDBZR,H25,SOT-23-3,C962159
DRV5053VAQDBZR,H26,SOT-23-3,C962159
DRV5053VAQDBZR,H27,SOT-23-3,C962159
DRV5053VAQDBZR,H28,SOT-23-3,C962159
DRV5053VAQDBZR,H29,SOT-23-3,C962159
ADG732BSUZ,U1,TQFP-48,C579103
1.5k 0805 1%,R1,0805,C4310
1.5k 0805 1%,R2,0805,C4310
1.5k 0805 1%,R3,0805,C4310
1.5k 0805 1%,R4,0805,C4310
1.5k 0805 1%,R5,0805,C4310
1.5k 0805 1%,R6,0805,C4310
1.5k 0805 1%,R7,0805,C4310
1.5k 0805 1%,R8,0805,C4310
1.5k 0805 1%,R9,0805,C4310
1.5k 0805 1%,R10,0805,C4310
1.5k 0805 1%,R11,0805,C4310
1.5k 0805 1%,R12,0805,C4310
1.5k 0805 1%,R13,0805,C4310
1.5k 0805 1%,R14,0805,C4310
1.5k 0805 1%,R15,0805,C4310
1.5k 0805 1%,R16,0805,C4310
1.5k 0805 1%,R17,0805,C4310
1.5k 0805 1%,R18,0805,C4310
1.5k 0805 1%,R19,0805,C4310
1.5k 0805 1%,R20,0805,C4310
1.5k 0805 1%,R21,0805,C4310
1.5k 0805 1%,R22,0805,C4310
1.5k 0805 1%,R23,0805,C4310
1.5k 0805 1%,R24,0805,C4310
1.5k 0805 1%,R25,0805,C4310
1.5k 0805 1%,R26,0805,C4310
1.5k 0805 1%,R27,0805,C4310
1.5k 0805 1%,R28,0805,C4310
1.5k 0805 1%,R29,0805,C4310
100nF 0805 X7R,C1,0805,C1711
100nF 0805 X7R,C2,0805,C1711
100nF 0805 X7R,C11,0805,C1711
100nF 0805 X7R,C12,0805,C1711
100nF 0805 X7R,C21,0805,C1711
100nF 0805 X7R,C22,0805,C1711
100nF 0805 X7R,C31,0805,C1711
100nF 0805 X7R,C32,0805,C1711
100nF 0805 X7R,C41,0805,C1711
100nF 0805 X7R,C42,0805,C1711
100nF 0805 X7R,C51,0805,C1711
100nF 0805 X7R,C52,0805,C1711
100nF 0805 X7R,C61,0805,C1711
100nF 0805 X7R,C62,0805,C1711
100nF 0805 X7R,C71,0805,C1711
100nF 0805 X7R,C72,0805,C1711
100nF 0805 X7R,C81,0805,C1711
100nF 0805 X7R,C82,0805,C1711
100nF 0805 X7R,C91,0805,C1711
100nF 0805 X7R,C92,0805,C1711
100nF 0805 X7R,C101,0805,C1711
100nF 0805 X7R,C102,0805,C1711
100nF 0805 X7R,C111,0805,C1711
100nF 0805 X7R,C112,0805,C1711
100nF 0805 X7R,C121,0805,C1711
100nF 0805 X7R,C122,0805,C1711
100nF 0805 X7R,C131,0805,C1711
100nF 0805 X7R,C132,0805,C1711
100nF 0805 X7R,C141,0805,C1711
100nF 0805 X7R,C142,0805,C1711
100nF 0805 X7R,C151,0805,C1711
100nF 0805 X7R,C152,0805,C1711
100nF 0805 X7R,C161,0805,C1711
100nF 0805 X7R,C162,0805,C1711
100nF 0805 X7R,C171,0805,C1711
100nF 0805 X7R,C172,0805,C1711
100nF 0805 X7R,C181,0805,C1711
100nF 0805 X7R,C182,0805,C1711
100nF 0805 X7R,C191,0805,C1711
100nF 0805 X7R,C192,0805,C1711
100nF 0805 X7R,C201,0805,C1711
100nF 0805 X7R,C202,0805,C1711
100nF 0805 X7R,C211,0805,C1711
100nF 0805 X7R,C212,0805,C1711
100nF 0805 X7R,C221,0805,C1711
100nF 0805 X7R,C222,0805,C1711
100nF 0805 X7R,C231,0805,C1711
100nF 0805 X7R,C232,0805,C1711
100nF 0805 X7R,C241,0805,C1711
100nF 0805 X7R,C242,0805,C1711
100nF 0805 X7R,C251,0805,C1711
100nF 0805 X7R,C252,0805,C1711
100nF 0805 X7R,C261,0805,C1711
100nF 0805 X7R,C262,0805,C1711
100nF 0805 X7R,C271,0805,C1711
100nF 0805 X7R,C272,0805,C1711
100nF 0805 X7R,C281,0805,C1711
100nF 0805 X7R,C282,0805,C1711
100nF 0805 X7R,C291,0805,C1711
100nF 0805 X7R,C292,0805,C1711
Molex 2137160001 USB-C (THT; use JLC Parts Sourcing),J1,MOLEX_2137160001 TH,C5119949
