Designator,Mid X,Mid Y,Layer,Rotation
C1,180.4307,-47.1027,B,270.0000
C2,188.9307,-83.8147,B,180.0000
H1,171.6970,-53.0290,B,180.0000
H2,152.6467,-50.5287,B,180.0000
H3,133.5957,-48.0285,B,180.0000
H4,114.5427,-50.5280,B,180.0000
H5,95.4907,-60.0475,B,180.0000
H6,76.4407,-60.0475,B,180.0000
H7,76.4407,-79.0975,B,180.0000
H8,95.4907,-79.0975,B,180.0000
H9,114.5427,-69.5780,B,180.0000
R1,169.5717,-56.0737,B,180.0000
R2,150.4847,-53.5887,B,180.0000
R3,131.3997,-51.0647,B,180.0000
R4,112.3777,-53.5647,B,180.0000
R5,93.3377,-63.0887,B,180.0000
R6,74.2667,-63.0907,B,180.0000
R7,74.2657,-82.1487,B,180.0000
R8,93.3007,-82.1497,B,180.0000
R9,112.3387,-72.6227,B,180.0000
U1,188.0147,-90.5097,B,315.0000
C11,168.4670,-53.1815,B,90.0000
C12,174.9180,-53.1725,B,270.0000
C21,149.4120,-50.7055,B,90.0000
C22,155.8630,-50.6855,B,270.0000
C31,130.3580,-48.1765,B,90.0000
C32,136.8120,-48.1785,B,270.0000
C41,111.3270,-50.6735,B,90.0000
C42,117.7650,-50.6715,B,270.0000
C51,92.2740,-60.2045,B,90.0000
C52,98.7100,-60.1985,B,270.0000
C61,73.2250,-60.2040,B,90.0000
C62,79.6590,-60.1975,B,270.0000
C71,73.2300,-79.2520,B,90.0000
C72,79.6580,-79.2380,B,270.0000
C81,92.2880,-79.2570,B,90.0000
C82,98.7110,-79.2280,B,270.0000
C91,111.3340,-69.7290,B,90.0000
C92,117.7530,-69.7165,B,270.0000
H10,133.5957,-67.0775,B,180.0000
H11,152.6407,-69.5787,B,180.0000
H12,171.6970,-72.0790,B,180.0000
H13,171.6890,-91.1300,B,180.0000
H14,152.6407,-88.6287,B,180.0000
H15,133.5957,-86.1275,B,180.0000
H16,114.5427,-88.6280,B,180.0000
H17,95.4907,-98.1475,B,180.0000
H18,76.4407,-98.1475,B,180.0000
H19,76.4407,-117.1975,B,180.0000
H20,95.4907,-117.1975,B,180.0000
H21,114.5427,-107.6780,B,180.0000
H22,133.5957,-105.1775,B,180.0000
H23,152.6407,-107.6787,B,180.0000
H24,171.6970,-110.1790,B,180.0000
H25,190.7467,-105.4167,B,270.0000
H26,176.4592,-129.2279,B,180.0000
H27,152.6410,-126.7270,B,180.0000
H28,133.5920,-124.2278,B,180.0000
H29,114.5450,-126.7227,B,180.0000
R10,131.3987,-70.1207,B,180.0000
R11,150.4757,-72.6317,B,180.0000
R12,169.5227,-75.1327,B,180.0000
R13,169.4667,-94.1527,B,180.0000
R14,150.4217,-91.6707,B,180.0000
R15,131.3767,-89.1627,B,180.0000
R16,112.3437,-91.6537,B,180.0000
R17,93.3057,-101.1917,B,180.0000
R18,74.2167,-101.1887,B,180.0000
R19,74.2377,-120.2387,B,180.0000
R20,93.2657,-120.2407,B,180.0000
R21,112.3607,-110.7177,B,180.0000
R22,131.4067,-108.2067,B,180.0000
R23,150.4627,-110.7127,B,180.0000
R24,169.5037,-113.2147,B,180.0000
R25,193.7787,-107.6507,B,270.0000
R26,174.3027,-132.2727,B,180.0000
R27,150.4527,-129.7597,B,180.0000
R28,131.3997,-127.2657,B,180.0000
R29,112.3437,-129.7647,B,180.0000
C101,130.3680,-67.2355,B,90.0000
C102,136.8050,-67.2435,B,270.0000
C111,149.4210,-69.7425,B,90.0000
C112,155.8500,-69.7185,B,270.0000
C121,168.4830,-72.2365,B,90.0000
C122,174.9090,-72.2365,B,270.0000
C131,168.4740,-91.2725,B,90.0000
C132,174.9030,-91.2875,B,270.0000
C141,149.4330,-88.7825,B,90.0000
C142,155.8510,-88.7775,B,270.0000
C151,130.3720,-86.2735,B,90.0000
C152,136.8110,-86.2695,B,270.0000
C161,111.3240,-88.7725,B,90.0000
C162,117.7490,-88.7595,B,270.0000
C171,92.2680,-98.3005,B,90.0000
C172,98.7040,-98.2810,B,270.0000
C181,73.2280,-98.3055,B,90.0000
C182,79.6580,-98.2840,B,270.0000
C191,73.2240,-117.3550,B,90.0000
C192,79.6550,-117.3370,B,270.0000
C201,92.2760,-117.3530,B,90.0000
C202,98.7030,-117.3365,B,270.0000
C211,111.3270,-107.8310,B,90.0000
C212,117.7580,-107.8315,B,270.0000
C221,130.3760,-105.3185,B,90.0000
C222,136.8000,-105.3265,B,270.0000
C231,149.4300,-107.8245,B,90.0000
C232,155.8560,-107.8205,B,270.0000
C241,168.4880,-110.3245,B,90.0000
C242,174.9230,-110.3175,B,270.0000
C251,190.8887,-108.6295,B,180.0000
C252,190.8867,-102.1945,B,0.0000
C261,173.2450,-129.3855,B,90.0000
C262,179.6730,-129.3635,B,270.0000
C271,149.4280,-126.8745,B,90.0000
C272,155.8550,-126.8625,B,270.0000
C281,130.3820,-124.3745,B,90.0000
C282,136.7990,-124.3555,B,270.0000
C291,111.3320,-126.8765,B,90.0000
C292,117.7580,-126.8580,B,270.0000
J1,199.8730,73.6130,T,90.0000
