Designator,Mid X,Mid Y,Layer,Rotation
C1,339.4992,48.4085,B,270.0000
C2,339.9133,6.8915,B,270.0000
H1,363.1930,42.6410,B,180.0000
H2,382.2432,45.1412,B,180.0000
H3,401.2942,47.6415,B,180.0000
H4,420.3472,45.1420,B,180.0000
H5,439.3992,35.6225,B,180.0000
H6,458.4493,35.6225,B,180.0000
H7,458.4493,16.5725,B,180.0000
H8,439.3992,16.5725,B,180.0000
H9,420.3472,26.0920,B,180.0000
R1,361.0093,39.5975,B,180.0000
R2,380.0752,42.0715,B,180.0000
R3,399.1022,44.6095,B,180.0000
R4,418.1182,42.0985,B,180.0000
R5,437.2022,32.5775,B,180.0000
R6,456.2332,32.5785,B,180.0000
R7,456.2712,13.5275,B,180.0000
R8,437.1812,13.5245,B,180.0000
R9,418.1463,23.0545,B,180.0000
U1,346.9772,6.1805,B,45.0000
C11,359.9630,42.4885,B,90.0000
C12,366.4140,42.4975,B,270.0000
C21,379.0085,44.9645,B,90.0000
C22,385.4595,44.9845,B,270.0000
C31,398.0565,47.4935,B,90.0000
C32,404.5105,47.4915,B,270.0000
C41,417.1315,44.9965,B,90.0000
C42,423.5695,44.9985,B,270.0000
C51,436.1825,35.4655,B,90.0000
C52,442.6185,35.4715,B,270.0000
C61,455.2335,35.4660,B,90.0000
C62,461.6675,35.4725,B,270.0000
C71,455.2385,16.4180,B,90.0000
C72,461.6665,16.4320,B,270.0000
C81,436.1965,16.4130,B,90.0000
C82,442.6195,16.4420,B,270.0000
C91,417.1385,25.9410,B,90.0000
C92,423.5575,25.9535,B,270.0000
H10,401.2943,28.5925,B,180.0000
H11,382.2493,26.0913,B,180.0000
H12,363.1930,23.5910,B,180.0000
H13,363.2010,4.5400,B,180.0000
H14,382.2493,7.0413,B,180.0000
H15,401.2943,9.5425,B,180.0000
H16,420.3472,7.0420,B,180.0000
H17,439.3992,-2.4775,B,180.0000
H18,458.4493,-2.4775,B,180.0000
H19,458.4493,-21.5275,B,180.0000
H20,439.3992,-21.5275,B,180.0000
H21,420.3472,-12.0080,B,180.0000
H22,401.2943,-9.5075,B,180.0000
H23,382.2493,-12.0087,B,180.0000
H24,363.1930,-14.5090,B,180.0000
H25,344.1432,-9.7465,B,90.0000
H26,358.4308,-33.5579,B,180.0000
H27,382.2490,-31.0570,B,180.0000
H28,401.2980,-28.5578,B,180.0000
H29,420.3450,-31.0527,B,180.0000
R10,399.0892,25.5445,B,180.0000
R11,380.0662,23.0295,B,180.0000
R12,360.9903,20.5485,B,180.0000
R13,361.0162,1.5045,B,180.0000
R14,380.0602,3.9945,B,180.0000
R15,399.0992,6.5045,B,180.0000
R16,418.1362,3.9975,B,180.0000
R17,437.2002,-5.5165,B,180.0000
R18,456.2403,-5.5215,B,180.0000
R19,456.2502,-24.5765,B,180.0000
R20,437.1822,-24.5685,B,180.0000
R21,418.1352,-15.0515,B,180.0000
R22,399.0842,-12.5375,B,180.0000
R23,380.0242,-15.0495,B,180.0000
R24,360.9942,-17.5385,B,180.0000
R25,341.1112,-7.5125,B,90.0000
R26,356.2643,-36.6045,B,180.0000
R27,380.0542,-34.0955,B,180.0000
R28,399.0712,-31.5915,B,180.0000
R29,418.1332,-34.0995,B,180.0000
C101,398.0665,28.4345,B,90.0000
C102,404.5035,28.4265,B,270.0000
C111,379.0295,25.9275,B,90.0000
C112,385.4585,25.9515,B,270.0000
C121,359.9790,23.4335,B,90.0000
C122,366.4050,23.4335,B,270.0000
C131,359.9860,4.3975,B,90.0000
C132,366.4150,4.3825,B,270.0000
C141,379.0415,6.8875,B,90.0000
C142,385.4595,6.8925,B,270.0000
C151,398.0705,9.3965,B,90.0000
C152,404.5095,9.4005,B,270.0000
C161,417.1285,6.8975,B,90.0000
C162,423.5535,6.9105,B,270.0000
C171,436.1765,-2.6305,B,90.0000
C172,442.6125,-2.6110,B,270.0000
C181,455.2365,-2.6355,B,90.0000
C182,461.6665,-2.6140,B,270.0000
C191,455.2325,-21.6850,B,90.0000
C192,461.6635,-21.6670,B,270.0000
C201,436.1845,-21.6830,B,90.0000
C202,442.6115,-21.6665,B,270.0000
C211,417.1315,-12.1610,B,90.0000
C212,423.5625,-12.1615,B,270.0000
C221,398.0745,-9.6485,B,90.0000
C222,404.4985,-9.6565,B,270.0000
C231,379.0385,-12.1545,B,90.0000
C232,385.4645,-12.1505,B,270.0000
C241,359.9840,-14.6545,B,90.0000
C242,366.4190,-14.6475,B,270.0000
C251,344.0012,-6.5338,B,0.0000
C252,344.0032,-12.9687,B,180.0000
C261,355.2167,-33.7155,B,90.0000
C262,361.6447,-33.6935,B,270.0000
C271,379.0360,-31.2045,B,90.0000
C272,385.4630,-31.1925,B,270.0000
C281,398.0880,-28.7045,B,90.0000
C282,404.5050,-28.6855,B,270.0000
C291,417.1320,-31.2065,B,90.0000
C292,423.5580,-31.1880,B,270.0000
