side,ref,value,footprint,lcsc,role,pop
L,C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C101,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C102,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C111,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C112,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C121,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C122,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C131,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C132,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C141,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C142,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C151,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C152,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C161,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C162,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C171,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C172,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C181,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C182,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C191,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C192,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C201,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C202,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C211,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C212,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C221,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C222,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C231,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C232,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C241,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C242,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C251,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C252,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C261,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C262,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C271,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C272,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C281,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C282,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C291,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C292,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
L,C31,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
L,C32,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
